location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop
California,2020-02-01,322000,322000,moderna,0.364,0.053,0.147,0.395
Colorado,2020-02-01,45800,45800,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-02-01,30300,30300,moderna,0.657,0.1,0.046,0.169
Delaware,2020-02-01,8000,8000,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-02-01,6100,6100,moderna,0.367,0.45,0.037,0.112
Florida,2020-02-01,176100,176100,moderna,0.53,0.15,0.027,0.266
Georgia,2020-02-01,83500,83500,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-02-01,12000,12000,moderna,0.204,0.012,0.394,0.103
Idaho,2020-02-01,13400,13400,moderna,0.816,0.007,0.012,0.129
Illinois,2020-02-01,83600,83600,moderna,0.609,0.136,0.056,0.176
Indiana,2020-02-01,54300,54300,moderna,0.786,0.092,0.024,0.072
Iowa,2020-02-01,25800,25800,moderna,0.853,0.039,0.023,0.063
Kansas,2020-02-01,23500,23500,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-02-01,36700,36700,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-02-01,38100,38100,moderna,0.588,0.319,0.017,0.052
Maine,2020-02-01,11600,11600,moderna,0.932,0.014,0.011,0.017
Maryland,2020-02-01,49900,49900,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-02-01,58400,58400,moderna,0.705,0.07,0.067,0.124
Michigan,2020-02-01,83100,83100,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-02-01,45500,45500,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-02-01,24300,24300,moderna,0.566,0.376,0.01,0.03
Missouri,2020-02-01,50400,50400,moderna,0.794,0.112,0.021,0.043
Montana,2020-02-01,8800,8800,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-02-01,15500,15500,moderna,0.785,0.048,0.024,0.113
Nevada,2020-02-01,24100,24100,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-02-01,11600,11600,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-02-01,74000,74000,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-02-01,17300,17300,moderna,0.367,0.017,0.016,0.495
New York,2020-02-01,94200,94200,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-02-01,84200,84200,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-02-01,6400,6400,moderna,0.841,0.024,0.014,0.04
Ohio,2020-02-01,96600,96600,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-02-01,31700,31700,moderna,0.65,0.069,0.021,0.111
Oregon,2020-02-01,34600,34600,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-02-01,95200,95200,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-02-01,28900,28900,moderna,0.013,0.001,0,0.982
Rhode Island,2020-02-01,9100,9100,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-02-01,41400,41400,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-02-01,7000,7000,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-02-01,55200,55200,moderna,0.736,0.164,0.018,0.057
Texas,2020-02-01,220500,220500,moderna,0.411,0.117,0.05,0.4
Utah,2020-02-01,22900,22900,moderna,0.778,0.01,0.023,0.144
Vermont,2020-02-01,5500,5500,moderna,0.928,0.011,0.016,0.018
Virginia,2020-02-01,70100,70100,moderna,0.613,0.189,0.067,0.096
Washington,2020-02-01,61300,61300,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-02-01,15600,15600,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-02-01,48300,48300,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-02-01,4800,4800,moderna,0.838,0.01,0.006,0.101
Alabama,2020-01-25,30600,30600,moderna,0.654,0.265,0.014,0.044
Alaska,2020-01-25,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-01-25,43400,43400,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-01-25,18600,18600,moderna,0.721,0.152,0.016,0.078
California,2020-01-25,244000,244000,moderna,0.364,0.053,0.147,0.395
Colorado,2020-01-25,34700,34700,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-01-25,23000,23000,moderna,0.657,0.1,0.046,0.169
Delaware,2020-01-25,6100,6100,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-01-25,4600,4600,moderna,0.367,0.45,0.037,0.112
Florida,2020-01-25,133500,133500,moderna,0.53,0.15,0.027,0.266
Georgia,2020-01-25,63300,63300,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-01-25,9100,9100,moderna,0.204,0.012,0.394,0.103
Idaho,2020-01-25,10200,10200,moderna,0.816,0.007,0.012,0.129
Illinois,2020-01-25,63300,63300,moderna,0.609,0.136,0.056,0.176
Indiana,2020-01-25,41100,41100,moderna,0.786,0.092,0.024,0.072
Iowa,2020-01-25,19500,19500,moderna,0.853,0.039,0.023,0.063
Kansas,2020-01-25,17800,17800,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-01-25,27900,27900,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-01-25,28900,28900,moderna,0.588,0.319,0.017,0.052
Maine,2020-01-25,8800,8800,moderna,0.932,0.014,0.011,0.017
Maryland,2020-01-25,37800,37800,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-01-25,44300,44300,moderna,0.705,0.07,0.067,0.124
Michigan,2020-01-25,63000,63000,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-01-25,34500,34500,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-01-25,18500,18500,moderna,0.566,0.376,0.01,0.03
Missouri,2020-01-25,38200,38200,moderna,0.794,0.112,0.021,0.043
Montana,2020-01-25,6700,6700,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-01-25,11800,11800,moderna,0.785,0.048,0.024,0.113
Nevada,2020-01-25,18300,18300,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-01-25,8800,8800,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-01-25,56100,56100,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-01-25,13200,13200,moderna,0.367,0.017,0.016,0.495
New York,2020-01-25,71400,71400,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-01-25,63800,63800,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-01-25,4800,4800,moderna,0.841,0.024,0.014,0.04
Ohio,2020-01-25,73200,73200,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-01-25,24100,24100,moderna,0.65,0.069,0.021,0.111
Oregon,2020-01-25,26200,26200,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-01-25,72100,72100,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-01-25,21900,21900,moderna,0.013,0.001,0,0.982
Rhode Island,2020-01-25,6900,6900,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-01-25,31400,31400,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-01-25,5300,5300,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-01-25,41800,41800,moderna,0.736,0.164,0.018,0.057
Texas,2020-01-25,167100,167100,moderna,0.411,0.117,0.05,0.4
Utah,2020-01-25,17400,17400,moderna,0.778,0.01,0.023,0.144
Vermont,2020-01-25,4200,4200,moderna,0.928,0.011,0.016,0.018
Virginia,2020-01-25,53100,53100,moderna,0.613,0.189,0.067,0.096
Washington,2020-01-25,46500,46500,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-01-25,11900,11900,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-01-25,36700,36700,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-01-25,3700,3700,moderna,0.838,0.01,0.006,0.101
Alabama,2020-01-18,30600,30600,moderna,0.654,0.265,0.014,0.044
Alaska,2020-01-18,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-01-18,43400,43400,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-01-18,18600,18600,moderna,0.721,0.152,0.016,0.078
California,2020-01-18,244000,244000,moderna,0.364,0.053,0.147,0.395
Colorado,2020-01-18,34700,34700,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-01-18,23000,23000,moderna,0.657,0.1,0.046,0.169
Delaware,2020-01-18,6100,6100,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-01-18,4600,4600,moderna,0.367,0.45,0.037,0.112
Florida,2020-01-18,133500,133500,moderna,0.53,0.15,0.027,0.266
Georgia,2020-01-18,63300,63300,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-01-18,9100,9100,moderna,0.204,0.012,0.394,0.103
Idaho,2020-01-18,10200,10200,moderna,0.816,0.007,0.012,0.129
Illinois,2020-01-18,63300,63300,moderna,0.609,0.136,0.056,0.176
Indiana,2020-01-18,41100,41100,moderna,0.786,0.092,0.024,0.072
Iowa,2020-01-18,19500,19500,moderna,0.853,0.039,0.023,0.063
Kansas,2020-01-18,17800,17800,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-01-18,27900,27900,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-01-18,28900,28900,moderna,0.588,0.319,0.017,0.052
Maine,2020-01-18,8800,8800,moderna,0.932,0.014,0.011,0.017
Maryland,2020-01-18,37800,37800,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-01-18,44300,44300,moderna,0.705,0.07,0.067,0.124
Michigan,2020-01-18,63000,63000,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-01-18,34500,34500,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-01-18,18500,18500,moderna,0.566,0.376,0.01,0.03
Missouri,2020-01-18,38200,38200,moderna,0.794,0.112,0.021,0.043
Montana,2020-01-18,6700,6700,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-01-18,11800,11800,moderna,0.785,0.048,0.024,0.113
Nevada,2020-01-18,18300,18300,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-01-18,8800,8800,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-01-18,56100,56100,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-01-18,13200,13200,moderna,0.367,0.017,0.016,0.495
New York,2020-01-18,71400,71400,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-01-18,63800,63800,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-01-18,4800,4800,moderna,0.841,0.024,0.014,0.04
Ohio,2020-01-18,73200,73200,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-01-18,24100,24100,moderna,0.65,0.069,0.021,0.111
Oregon,2020-01-18,26200,26200,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-01-18,72100,72100,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-01-18,21900,21900,moderna,0.013,0.001,0,0.982
Rhode Island,2020-01-18,6900,6900,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-01-18,31400,31400,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-01-18,5300,5300,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-01-18,41800,41800,moderna,0.736,0.164,0.018,0.057
Texas,2020-01-18,167100,167100,moderna,0.411,0.117,0.05,0.4
Utah,2020-01-18,17400,17400,moderna,0.778,0.01,0.023,0.144
Vermont,2020-01-18,4200,4200,moderna,0.928,0.011,0.016,0.018
Virginia,2020-01-18,53100,53100,moderna,0.613,0.189,0.067,0.096
Washington,2020-01-18,46500,46500,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-01-18,11900,11900,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-01-18,36700,36700,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-01-18,3700,3700,moderna,0.838,0.01,0.006,0.101
Alabama,2020-01-11,29100,29100,moderna,0.654,0.265,0.014,0.044
Alaska,2020-01-11,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-01-11,41300,41300,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-01-11,17700,17700,moderna,0.721,0.152,0.016,0.078
California,2020-01-11,232300,232300,moderna,0.364,0.053,0.147,0.395
Colorado,2020-01-11,33000,33000,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-01-11,21900,21900,moderna,0.657,0.1,0.046,0.169
Delaware,2020-01-11,5800,5800,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-01-11,4400,4400,moderna,0.367,0.45,0.037,0.112
Florida,2020-01-11,127100,127100,moderna,0.53,0.15,0.027,0.266
Georgia,2020-01-11,60200,60200,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-01-11,8700,8700,moderna,0.204,0.012,0.394,0.103
Idaho,2020-01-11,9700,9700,moderna,0.816,0.007,0.012,0.129
Illinois,2020-01-11,60300,60300,moderna,0.609,0.136,0.056,0.176
Indiana,2020-01-11,39200,39200,moderna,0.786,0.092,0.024,0.072
Iowa,2020-01-11,18600,18600,moderna,0.853,0.039,0.023,0.063
Kansas,2020-01-11,17000,17000,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-01-11,26500,26500,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-01-11,27500,27500,moderna,0.588,0.319,0.017,0.052
Maine,2020-01-11,8400,8400,moderna,0.932,0.014,0.011,0.017
Maryland,2020-01-11,36000,36000,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-01-11,42100,42100,moderna,0.705,0.07,0.067,0.124
Michigan,2020-01-11,60000,60000,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-01-11,32900,32900,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-01-11,17600,17600,moderna,0.566,0.376,0.01,0.03
Missouri,2020-01-11,36400,36400,moderna,0.794,0.112,0.021,0.043
Montana,2020-01-11,6400,6400,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-01-11,11200,11200,moderna,0.785,0.048,0.024,0.113
Nevada,2020-01-11,17400,17400,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-01-11,8400,8400,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-01-11,53400,53400,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-01-11,12500,12500,moderna,0.367,0.017,0.016,0.495
New York,2020-01-11,68000,68000,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-01-11,60800,60800,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-01-11,4600,4600,moderna,0.841,0.024,0.014,0.04
Ohio,2020-01-11,69700,69700,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-01-11,22900,22900,moderna,0.65,0.069,0.021,0.111
Oregon,2020-01-11,25000,25000,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-01-11,68700,68700,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-01-11,20900,20900,moderna,0.013,0.001,0,0.982
Rhode Island,2020-01-11,6600,6600,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-01-11,29900,29900,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-01-11,5100,5100,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-01-11,39800,39800,moderna,0.736,0.164,0.018,0.057
Texas,2020-01-11,159100,159100,moderna,0.411,0.117,0.05,0.4
Utah,2020-01-11,16600,16600,moderna,0.778,0.01,0.023,0.144
Vermont,2020-01-11,4000,4000,moderna,0.928,0.011,0.016,0.018
Virginia,2020-01-11,50600,50600,moderna,0.613,0.189,0.067,0.096
Washington,2020-01-11,44300,44300,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-01-11,11300,11300,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-01-11,34900,34900,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-01-11,3500,3500,moderna,0.838,0.01,0.006,0.101
Alabama,2020-01-04,29000,29000,moderna,0.654,0.265,0.014,0.044
Alaska,2020-01-04,25600,25600,moderna,0.6,0.022,0.06,0.07
Arizona,2020-01-04,41100,41100,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-01-04,17600,17600,moderna,0.721,0.152,0.016,0.078
California,2020-01-04,231400,231400,moderna,0.364,0.053,0.147,0.395
Colorado,2020-01-04,32900,32900,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-01-04,21800,21800,moderna,0.657,0.1,0.046,0.169
Delaware,2020-01-04,5800,5800,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-01-04,4400,4400,moderna,0.367,0.45,0.037,0.112
Florida,2020-01-04,126600,126600,moderna,0.53,0.15,0.027,0.266
Georgia,2020-01-04,60000,60000,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-01-04,8600,8600,moderna,0.204,0.012,0.394,0.103
Idaho,2020-01-04,9700,9700,moderna,0.816,0.007,0.012,0.129
Illinois,2020-01-04,60100,60100,moderna,0.609,0.136,0.056,0.176
Indiana,2020-01-04,39000,39000,moderna,0.786,0.092,0.024,0.072
Iowa,2020-01-04,18500,18500,moderna,0.853,0.039,0.023,0.063
Kansas,2020-01-04,16900,16900,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-01-04,26400,26400,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-01-04,27400,27400,moderna,0.588,0.319,0.017,0.052
Maine,2020-01-04,8300,8300,moderna,0.932,0.014,0.011,0.017
Maryland,2020-01-04,35900,35900,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-01-04,42000,42000,moderna,0.705,0.07,0.067,0.124
Michigan,2020-01-04,59800,59800,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-01-04,32700,32700,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-01-04,17500,17500,moderna,0.566,0.376,0.01,0.03
Missouri,2020-01-04,36200,36200,moderna,0.794,0.112,0.021,0.043
Montana,2020-01-04,6300,6300,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-01-04,11200,11200,moderna,0.785,0.048,0.024,0.113
Nevada,2020-01-04,17300,17300,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-01-04,8400,8400,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-01-04,53200,53200,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-01-04,12500,12500,moderna,0.367,0.017,0.016,0.495
New York,2020-01-04,67700,67700,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-01-04,60500,60500,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-01-04,4600,4600,moderna,0.841,0.024,0.014,0.04
Ohio,2020-01-04,69500,69500,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-01-04,22800,22800,moderna,0.65,0.069,0.021,0.111
Oregon,2020-01-04,24800,24800,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-01-04,68400,68400,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-01-04,20800,20800,moderna,0.013,0.001,0,0.982
Rhode Island,2020-01-04,6600,6600,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-01-04,29700,29700,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-01-04,5100,5100,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-01-04,39700,39700,moderna,0.736,0.164,0.018,0.057
Texas,2020-01-04,158500,158500,moderna,0.411,0.117,0.05,0.4
Utah,2020-01-04,16500,16500,moderna,0.778,0.01,0.023,0.144
Vermont,2020-01-04,3900,3900,moderna,0.928,0.011,0.016,0.018
Virginia,2020-01-04,50400,50400,moderna,0.613,0.189,0.067,0.096
Washington,2020-01-04,44100,44100,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-01-04,11200,11200,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-01-04,34700,34700,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-01-04,3500,3500,moderna,0.838,0.01,0.006,0.101
Alabama,2020-12-28,29100,29100,moderna,0.654,0.265,0.014,0.044
Alaska,2020-12-28,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-12-28,41300,41300,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-12-28,17700,17700,moderna,0.721,0.152,0.016,0.078
California,2020-12-28,232300,232300,moderna,0.364,0.053,0.147,0.395
Colorado,2020-12-28,33000,33000,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-12-28,21900,21900,moderna,0.657,0.1,0.046,0.169
Delaware,2020-12-28,5800,5800,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-12-28,4400,4400,moderna,0.367,0.45,0.037,0.112
Florida,2020-12-28,127100,127100,moderna,0.53,0.15,0.027,0.266
Georgia,2020-12-28,60200,60200,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-12-28,8700,8700,moderna,0.204,0.012,0.394,0.103
Idaho,2020-12-28,9700,9700,moderna,0.816,0.007,0.012,0.129
Illinois,2020-12-28,60300,60300,moderna,0.609,0.136,0.056,0.176
Indiana,2020-12-28,39200,39200,moderna,0.786,0.092,0.024,0.072
Iowa,2020-12-28,18600,18600,moderna,0.853,0.039,0.023,0.063
Kansas,2020-12-28,17000,17000,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-12-28,26500,26500,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-12-28,27500,27500,moderna,0.588,0.319,0.017,0.052
Maine,2020-12-28,8400,8400,moderna,0.932,0.014,0.011,0.017
Maryland,2020-12-28,36000,36000,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-12-28,42100,42100,moderna,0.705,0.07,0.067,0.124
Michigan,2020-12-28,60000,60000,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-12-28,32900,32900,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-12-28,17600,17600,moderna,0.566,0.376,0.01,0.03
Missouri,2020-12-28,36400,36400,moderna,0.794,0.112,0.021,0.043
Montana,2020-12-28,6400,6400,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-12-28,11200,11200,moderna,0.785,0.048,0.024,0.113
Nevada,2020-12-28,17400,17400,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-12-28,8400,8400,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-12-28,53400,53400,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-12-28,12500,12500,moderna,0.367,0.017,0.016,0.495
New York,2020-12-28,68000,68000,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-12-28,60800,60800,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-12-28,4600,4600,moderna,0.841,0.024,0.014,0.04
Ohio,2020-12-28,69700,69700,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-12-28,22900,22900,moderna,0.65,0.069,0.021,0.111
Oregon,2020-12-28,25000,25000,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-12-28,68700,68700,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-12-28,20900,20900,moderna,0.013,0.001,0,0.982
Rhode Island,2020-12-28,6600,6600,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-12-28,29900,29900,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-12-28,5100,5100,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-12-28,39800,39800,moderna,0.736,0.164,0.018,0.057
Texas,2020-12-28,159100,159100,moderna,0.411,0.117,0.05,0.4
Utah,2020-12-28,16600,16600,moderna,0.778,0.01,0.023,0.144
Vermont,2020-12-28,4000,4000,moderna,0.928,0.011,0.016,0.018
Virginia,2020-12-28,50600,50600,moderna,0.613,0.189,0.067,0.096
Washington,2020-12-28,44300,44300,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-12-28,11300,11300,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-12-28,34900,34900,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-12-28,3500,3500,moderna,0.838,0.01,0.006,0.101
Alabama,2020-12-21,84300,84300,moderna,0.654,0.265,0.014,0.044
Alaska,2020-12-21,26800,26800,moderna,0.6,0.022,0.06,0.07
Arizona,2020-12-21,119400,119400,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-12-21,51100,51100,moderna,0.721,0.152,0.016,0.078
California,2020-12-21,672600,672600,moderna,0.364,0.053,0.147,0.395
Colorado,2020-12-21,95600,95600,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-12-21,63300,63300,moderna,0.657,0.1,0.046,0.169
Delaware,2020-12-21,16700,16700,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-12-21,12600,12600,moderna,0.367,0.45,0.037,0.112
Florida,2020-12-21,367900,367900,moderna,0.53,0.15,0.027,0.266
Georgia,2020-12-21,174400,174400,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-12-21,25000,25000,moderna,0.204,0.012,0.394,0.103
Idaho,2020-12-21,28000,28000,moderna,0.816,0.007,0.012,0.129
Illinois,2020-12-21,174600,174600,moderna,0.609,0.136,0.056,0.176
Indiana,2020-12-21,113300,113300,moderna,0.786,0.092,0.024,0.072
Iowa,2020-12-21,53800,53800,moderna,0.853,0.039,0.023,0.063
Kansas,2020-12-21,49100,49100,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-12-21,76700,76700,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-12-21,79500,79500,moderna,0.588,0.319,0.017,0.052
Maine,2020-12-21,24200,24200,moderna,0.932,0.014,0.011,0.017
Maryland,2020-12-21,104300,104300,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-12-21,121900,121900,moderna,0.705,0.07,0.067,0.124
Michigan,2020-12-21,173600,173600,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-12-21,94900,94900,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-12-21,50800,50800,moderna,0.566,0.376,0.01,0.03
Missouri,2020-12-21,105300,105300,moderna,0.794,0.112,0.021,0.043
Montana,2020-12-21,18300,18300,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-12-21,32400,32400,moderna,0.785,0.048,0.024,0.113
Nevada,2020-12-21,50300,50300,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-12-21,24200,24200,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-12-21,154500,154500,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-12-21,36100,36100,moderna,0.367,0.017,0.016,0.495
New York,2020-12-21,196800,196800,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-12-21,175900,175900,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-12-21,13200,13200,moderna,0.841,0.024,0.014,0.04
Ohio,2020-12-21,201900,201900,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-12-21,66200,66200,moderna,0.65,0.069,0.021,0.111
Oregon,2020-12-21,72100,72100,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-12-21,198800,198800,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-12-21,60400,60400,moderna,0.013,0.001,0,0.982
Rhode Island,2020-12-21,19000,19000,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-12-21,86400,86400,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-12-21,14600,14600,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-12-21,115200,115200,moderna,0.736,0.164,0.018,0.057
Texas,2020-12-21,460500,460500,moderna,0.411,0.117,0.05,0.4
Utah,2020-12-21,47800,47800,moderna,0.778,0.01,0.023,0.144
Vermont,2020-12-21,11400,11400,moderna,0.928,0.011,0.016,0.018
Virginia,2020-12-21,146400,146400,moderna,0.613,0.189,0.067,0.096
Washington,2020-12-21,128000,128000,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-12-21,32600,32600,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-12-21,101000,101000,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-12-21,10000,10000,moderna,0.838,0.01,0.006,0.101
Connecticut,2020-04-05,50310,50310,pfizer,0.657,0.1,0.046,0.169
Maine,2020-04-05,19890,19890,pfizer,0.932,0.014,0.011,0.017
Massachusetts,2020-04-05,95940,95940,pfizer,0.705,0.07,0.067,0.124
